lemma,pos,definizione,esempio
fotopasto,sost,"##gastronomia## Pasto sintetico preparato tramite tecnologia a stampa 3D basata su immagini, utilizzato per diete personalizzate e pasti estetici.",Il fotopasto preparato dalla stampante 3D aveva l'aspetto di un'opera d'arte.
futurolia,sost,La sensazione di gioia che viene dall’immaginare piaceri futuri.,La futurolia di un viaggio imminente lo riempiva di entusiasmo.
tenebratore,sost,##tecnologia## Strumento che consente di oscurare istantaneamente tutte le fonti di luce.,Il tenebratore ha creato un buio totale in pochi secondi.
marequiete,sost,"Uno stato di calma assoluta del mare, privo di onde e movimento, che trasmette un senso di pace interiore.",La barca si trovava in una marequiete che sembrava sospendere il tempo.
plasmotermico,agg,"##fisica## Relativo a un plasma altamente energizzato che emette calore intenso, studiato in fisica e applicazioni industriali.","Il reattore plasmotermico generava un'energia immensa, sfruttando le proprietà del plasma."
pensaflutto,sost,"Un pensiero profondo che sorge spontaneamente, leggero come un soffio, spesso durante momenti di quiete.","Mentre passeggiava nel parco, fu colto da un pensaflutto che gli fece riflettere sulla vita."
geonave,sost,"##geologia## ##tecnologia## Vela navigabile che raccoglie dati geologici mentre si sposta su laghi o mari, utilizzata in esplorazioni scientifiche.",La geonave ha fornito nuove informazioni sulla composizione del fondale marino.
neologante,sost,Chi si esprime solo tramite neologismi.,"Il neologante è difficile da capire, inventa nuove parole ogni giorno."
idrotex,sost,"##tecnologia## Tessuto avanzato che cambia colore e texture a contatto con l'acqua, utilizzato in abbigliamento e arredamento innovativo.","Il idrotex della giacca si adattava alle condizioni atmosferiche, cambiando colore sotto la pioggia."
telelogramma,sost,"##tecnologia## Proiezione di immagini olografiche a lunga distanza, utilizzata per comunicazioni immersive e conferenze virtuali.","Grazie alla telelogramma, ha partecipato alla riunione dall'altra parte del mondo senza lasciare casa."
lunescente,agg,"##astronomia## Che emana o riflette una luce pallida e fredda, simile a quella della luna; usato anche per descrivere atmosfere sognanti o surreali.",La notte lunescente avvolgeva il paesaggio in un'atmosfera eterea.
psicobotterapia,sost,##psicologia## ##tecnologia## Terapia psicologica che avviene tramite l'uso di chatbot e intelligenza artificiale.,La psicobotterapia si è dimostrata efficace per pazienti che preferiscono interagire con tecnologie piuttosto che con terapeuti umani.
criolux,sost,"##tecnologia## ##energia## Dispositivo che converte le temperature fredde in luce, utilizzato in ambienti estremi dove l'elettricità non è disponibile.",Il criolux si accendeva automaticamente quando la temperatura scendeva sotto zero.
futuroscala,sost,##tecnologia## Contenitore progettato per conservare oggetti o messaggi destinati a essere aperti in un futuro lontano,"La futuroscala sarà aperta solo tra cento anni, rivelando i segreti del nostro tempo."
micromodulare,verb,"##chimica## ##tecnologia## Creare o modificare sostanze a livello microscopico, spesso utilizzato in biotecnologie e chimica.",I ricercatori hanno micromodulato una nuova proteina con proprietà uniche.
luneggiare,verb,"##poesia## Passare il tempo in contemplazione o sogno sotto la luce della luna, spesso con un senso di riflessione o nostalgia.","Durante le calde notti estive, amava luneggiare in giardino fino all'alba."
criptozona,sost,"##informatica## Ambiente virtuale sicuro in cui avvengono transazioni finanziarie e scambi di dati crittografati, utilizzato per proteggere la privacy.","Le operazioni finanziarie più delicate avvenivano nella criptozona, lontano da occhi indiscreti."
lampensiero,sost,"Un'idea o intuizione improvvisa, veloce come un lampo, che illumina la mente solo per un istante.","Ebbi un lampensiero su come risolvere il problema, ma sfuggì subito."
cosmaggio,sost,(iron.) Formaggio talmente buono che sembra venire dallo spazio.,Il cosmaggio del contadino è famoso in tutto il paese per il suo sapore unico.
cronodinamica,sost,"##fisica## Studio delle variazioni temporali all'interno di sistemi complessi, con applicazioni in fisica e filosofia del tempo.",La cronodinamica cerca di spiegare come il tempo influenzi i cambiamenti nei sistemi fisici.
alarmintelligenza,sost,Tendenza giornalistica a creare notizie allarmanti sull'intelligenza artificiale per attirare l'attenzione.,L'alarmintelligenza ha generato paure infondate sull'intelligenza artificiale.
adex,sost,"##finanza## Indice finanziario che tiene traccia del mercato dei nastri adesivi, creato con lo scopo di anticipare recessioni.","L'adex ha mostrato un calo, suggerendo una possibile recessione economica in arrivo."
psicointegrare,verb,"##psicologia## Integrare e armonizzare diversi aspetti della mente o della psiche, spesso utilizzato in contesti terapeutici.",Il terapeuta aiutò il paziente a psicointegrare i suoi traumi per raggiungere un equilibrio interiore.
neuroviaggio,sost,"##tecnologia## ##psicologia## Viaggio virtuale attraverso simulazioni mentali, sperimentato tramite dispositivi neurali avanzati, spesso utilizzato a scopo terapeutico.","Il neuroviaggio lo portò in un'isola tropicale, senza mai lasciare la stanza."
cerconulla,sost,"Spazio vuoto, perfettamente circolare, percepito come un'assenza palpabile all'interno di un ambiente.","Nel centro della stanza, il cerconulla emanava una strana energia, come se aspettasse di essere riempito."
aeroflux,sost,"Struttura volante utilizzata per raccogliere e analizzare i flussi d'aria a diverse altitudini, impiegata in studi climatici.",L'aeroflux ha permesso di raccogliere dati dettagliati sui venti d'alta quota.
fotobloccare,verb,##fotografia## Bloccare un'immagine o una scena in un momento preciso utilizzando tecnologie avanzate di luce o fotografia.,"Il dispositivo permette di fotobloccare un attimo esatto, rendendo visibile ogni dettaglio."
neogeneratore,sost,##intelligenza artificiale## Sistemi di intelligenza artificiale basati su large language models specializzati nel generare neologismi.,Il neogeneratore ha inventato una parola che potrebbe entrare presto nell'uso comune.
kinergia,sost,##tecnologia## Dispositivo portatile che genera energia sfruttando il movimento del corpo umano.,"Con la kinergia, poteva ricaricare il suo smartphone semplicemente camminando."
neuroflora,sost,"##botanica## Pianta geneticamente modificata per rilevare e rispondere agli stimoli neurali umani, utilizzata in terapia per migliorare il benessere mentale.",La neuroflora reagiva ai pensieri positivi cambiando colore.
cronotavola,sost,"Una tavola o superficie capace di mostrare visivamente il passare del tempo, evidenziando i cambiamenti avvenuti su di essa.","La cronotavola rivelava i segni degli anni che erano passati, come rughe su un volto umano."
ombrareminis,sost,##psicologia## Un'ombra che appare solo quando qualcuno ricorda intensamente un evento passato.,"Mentre pensava a quella giornata, una ombrareminis si materializzò sul muro."
acquamemoria,sost,"Un'acqua speciale che conserva i ricordi delle persone che vi si immergono, trasmettendoli a chi la tocca.",La leggenda narra che l'acquamemoria del lago mostrasse i sogni dei viandanti.
aerodiffondere,verb,"##chimica## Diffondere una sostanza in forma di aerosol o particelle fini nell'aria, spesso utilizzato in contesti di salute o ambiente.","Per purificare l'aria, hanno iniziato a aerodiffondere una miscela di oli essenziali."
pentacarbone,sost,##chimica## Molecola formata da 5 atomi di carbonio.,Il pentacarbone è stato studiato per le sue proprietà uniche nel campo della chimica organica.
lucetrofobo,sost,"##biologia## ##tecnologia## Organismo o dispositivo che cerca attivamente fonti di luce, utilizzato in biologia e robotica.","Il robot lucetrofobo si muoveva verso qualsiasi fonte luminosa, adattandosi all'ambiente."
sonomodulare,verb,"##musica## Modificare o adattare il tono di un suono, utilizzato in contesti musicali o tecnologici per regolare le qualità sonore.",Il tecnico ha sonomodulato la traccia audio per migliorare la qualità del suono.
bioarmonico,agg,"##biotecnologie## Che imita o emula processi biologici, utilizzato in ingegneria e design per sviluppare tecnologie ispirate alla natura.",Il progetto bioarmonico ha portato a innovazioni significative nei materiali sostenibili.
tempofonia,sost,"##musica## Dispositivo musicale che riproduce suoni e melodie basate sul ritmo biologico di chi lo utilizza, adattandosi all’umore del momento.",La tempofonia suonava una melodia rilassante mentre si distendeva sul divano.
cromotattile,agg,"##design## Che cambia colore in risposta al tocco, utilizzato in arte interattiva e design tecnologico.","L'opera cromotattile reagiva al contatto, cambiando tonalità in base alla pressione delle dita."
virtualista,sost,##informatica## (iron.) Chi passa la maggior parte del suo tempo nella realtà virtuale.,"È diventato un virtualista, sempre immerso in mondi digitali."
nottechiara,sost,"##astronomia## Una notte particolarmente luminosa, dove le stelle e la luna sembrano quasi illuminare a giorno.","Durante la nottechiara, il paesaggio si vedeva nitidamente senza bisogno di luci artificiali."
quantosensibile,agg,"##fisica## Sensibile ai fenomeni quantistici, spesso utilizzato per descrivere dispositivi o materiali che reagiscono a variazioni quantistiche.",Il rilevatore quantosensibile ha misurato anche le più piccole fluttuazioni di energia.
silvanima,sost,"##ecologia## Lo spirito o l'anima di una foresta, percepibile solo da coloro che sono in profonda sintonia con la natura.",Il vecchio sentiva la silvanima ogni volta che si addentrava nel bosco.
nebbioarte,sost,##arte## Forma d'arte che utilizza nebbie artificiali e giochi di luce per creare installazioni immersive.,La mostra di nebbioarte trasformava lo spazio espositivo in un paesaggio onirico.
linguverso,sost,"##linguistica## Ambiente virtuale simulato in cui parole e frasi prendono forma fisica, usato per visualizzare e manipolare concetti linguistici in modo tangibile.","Nella linguverso, poteva letteralmente spostare parole e costruire frasi come se fossero oggetti."
sabbioforma,sost,"##arte## Una rappresentazione artistica fatta di sabbia, spesso di grandi dimensioni, che cambia aspetto con il vento o l'acqua.",Il sabbioforma sulla spiaggia si trasformava ad ogni onda che lo toccava.
geosintetizzare,verb,"##geologia## Creare o modificare strutture geologiche attraverso processi chimici sintetici, spesso utilizzato in tecnologie di terraformazione.",I ricercatori hanno sperimentato un modo per geosintetizzare nuovi tipi di rocce.
termovibrare,verb,"##fisica## Generare vibrazioni attraverso l'uso del calore, utilizzato per descrivere fenomeni fisici o tecnologie di riscaldamento.",Il nuovo dispositivo è in grado di termovibrare i materiali per modificarne la struttura interna.
vitafabbricare,verb,Creare in laboratorio forme di vita artificiali per scopi di controllo o lavoro.,Gli scienziati sono riusciti a vitafabbricare microrganismi per la pulizia ambientale.
bioritmare,verb,"##biotecnologie## Regolare o sincronizzare processi biologici con dispositivi tecnologici, spesso utilizzato in biotecnologie avanzate.",Il dispositivo è stato progettato per bioritmare le funzioni vitali del paziente.
temporielastico,agg,"Capace di variare la propria elasticità in funzione del tempo, utilizzato in materiali avanzati.",Il materiale temporielastico ha adattato la sua flessibilità durante l'esperimento.
eolicasa,sost,"##architettura## ##energia## Abitazione futuristica che sfrutta l'energia eolica per la propria autosufficienza energetica, progettata per ambienti ventosi.",L'eolicasa sul pendio della collina non aveva bisogno di alcun collegamento alla rete elettrica.
terragrafare,verb,"##arte## Disegnare o tracciare forme sulla terra o su superfici naturali, utilizzato spesso in contesti artistici o rituali.",Gli artisti hanno iniziato a terragrafare figure elaborate sulla sabbia della spiaggia.
telecurare,verb,##medicina## Fornire assistenza sanitaria a distanza con strumenti digitali.,"Durante la pandemia, molti pazienti hanno preferito telecurare piuttosto che recarsi in ospedale."
populocratizzare,verb,##politica## Il mutamento del sistema politico democratico in uno populista.,Il paese è stato populocratizzato da leader carismatici che hanno sfruttato le paure della popolazione.
neuroquantica,sost,"##fisica## ##neuroscienze## Campo di studio che esplora l'interazione tra processi neuronali e fenomeni quantistici, con applicazioni in neuroscienze e fisica teorica.",La neuroquantica potrebbe rivoluzionare la nostra comprensione della coscienza umana.
criptoobbligazioni,sost,##finanza## Obbligazioni distribuite in criptovalute.,La criptoobbligazione ha attratto investitori interessati a nuove forme di investimento digitale.
lunarefletto,sost,##astronomia## Il riflesso della luna sull'acqua.,Il lunarefletto creava un'atmosfera magica sul lago.
viaggiomania,sost,##psicologia## L’irrefrenabile desiderio di viaggiare.,La sua viaggiomania lo spingeva a visitare un nuovo paese ogni mese.
etereonergico,agg,"Di natura eterea ma energetica, combinando leggerezza e forza.","La sua presenza era etereonergica, impercettibile ma potentemente influente."
aerombrello,sost,Ombrello che ruota automaticamente in base alla direzione da cui proviene il vento in modo da riparare meglio dalla pioggia.,"Con il aerombrello, non mi preoccupo più del vento che sposta l'ombrello."
ecoabitacolo,sost,"##architettura## ##biologia## Struttura modulare autosufficiente che replica un ecosistema in miniatura, progettata per studi ambientali e utilizzo domestico.",L'ecoabitacolo nel laboratorio simulava perfettamente le condizioni di una foresta tropicale.
neuroguanto,sost,"##tecnologia## Guanto dotato di sensori neurali, utilizzato per il controllo a distanza di dispositivi tramite segnali cerebrali.","Con il neuroguanto, poteva controllare il drone semplicemente muovendo le dita."
tecnobotanico,agg,"##botanica## ##tecnologia## Relativo all'integrazione di tecnologie avanzate nelle pratiche botaniche, utilizzato per descrivere innovazioni in agricoltura e orticoltura.","Il sistema tecnobotanico ha rivoluzionato la coltivazione in serra, migliorando l'efficienza e la resa."
zolfatico,agg,"##chimica## Che riguarda o contiene zolfo, spesso utilizzato per descrivere ambienti geologici o fenomeni chimici.",Le emissioni zolfatiche della zona vulcanica erano fortemente percepibili.
rugiadelico,agg,"##poesia## Che evoca la freschezza e delicatezza della rugiada del mattino, utilizzato per descrivere superfici o atmosfere leggere e fresche.","Il prato rugiadelico era ricoperto da una leggera umidità, che scintillava sotto i primi raggi del sole."
svelativo,agg,Che rivela o scopre qualcosa in modo sorprendente o inaspettato.,"Il discorso fu svelativo, svelando verità che nessuno sospettava."
glucosensore,sost,##medicina## Tecnologia indossabile per monitorare i livelli di glucosio nel sangue in tempo reale tramite connessione wireless.,"Il glucosensore invia costantemente i dati al mio smartphone, tenendo sotto controllo i miei livelli di zucchero."
fitonucleare,sost,##botanica## Specie vegetale che cresce nutrendosi di rifiuti nucleari.,La fitonucleare ha dimostrato di poter bonificare terreni contaminati.
idrolevitare,verb,"##fisica## Far levitare un oggetto utilizzando l'acqua o una superficie liquida, spesso studiato in tecnologie avanzate.",Il nuovo esperimento dimostrò come idrolevitare piccoli oggetti sopra la superficie dell'acqua.
nostalleggia,sost,##psicologia## Una sensazione lieve e fugace di nostalgia che si manifesta improvvisamente in un momento felice.,"Mentre rideva con gli amici, una nostalleggia le attraversò il cuore, riportandola ai giorni passati."
elettronevoluzione,sost,##scienza## Disciplina che studia l'evoluzione dei sistemi elettronici attraverso l'applicazione di principi evolutivi.,L'elettronevoluzione ha aperto nuove frontiere nello sviluppo di circuiti auto-adattativi.
luminebbioso,agg,"##moda## Quasi trasparente, ma con una lucentezza opaca che lascia intravedere appena le forme sottostanti.",La stoffa luminebbiosa lasciava intravedere appena i contorni della figura.
aerodiscorso,sost,"Un discorso o una serie di parole che, per la loro leggerezza e fluidità, sembrano fluttuare nell'aria.","Le sue parole erano un aerodiscorso, quasi non sembravano appartenere a questo mondo."
riciclabitazione,sost,"##architettura## ##ecologia## Edificio costruito interamente con materiali riciclati e sostenibili, progettato per un impatto ambientale minimo.",La riciclabitazione ha ricevuto numerosi premi per il suo design ecologico.
biocromatica,sost,"##biologia## Vernice biologica che cambia colore in risposta a stimoli ambientali, utilizzata per segnalazione visiva e decorazione interattiva.",La biocromatica sulle pareti cambiava colore a seconda della temperatura esterna.
roverastro,sost,"##astronomia## ##tecnologia## Veicolo progettato per esplorazioni su superfici planetarie, adatto a terreni extraterrestri.","Il roverastro ha attraversato il suolo marziano senza problemi, grazie ai suoi pannelli solari."
quantofilìa,sost,"##fisica## Fascinazione per i fenomeni quantistici e la loro interpretazione filosofica, spesso collegata a discussioni su realtà alternative e natura della materia.",La quantofilìa ha portato molti studiosi a esplorare le implicazioni filosofiche della meccanica quantistica.
sismofonia,sost,"##geologia## Fenomeno in cui i movimenti delle placche terrestri generano onde sismiche che producono suoni dissonanti, studiato in geologia e acustica.",La sismofonia rilevata durante il terremoto ha suscitato interesse tra i geologi e i musicisti.
fototrasmettere,verb,"##tecnologia## Trasmettere dati o informazioni utilizzando impulsi di luce, spesso impiegato in tecnologie avanzate di comunicazione.",L'azienda ha sviluppato un nuovo sistema per fototrasmettere dati a velocità incredibili.
nebbioteca,sost,##tecnologia## Fabbrica o luogo dove viene prodotta artificialmente la nebbia per scopi artistici o scientifici.,Il regista ha utilizzato una nebbioteca per creare l'atmosfera spettrale della scena.
celolume,sost,"Un raggio di luce che sembra provenire direttamente dal cielo, spesso associato a fenomeni naturali o divini.","Il celolume attraversava le nuvole, creando un'aura mistica sul paesaggio."
crepuscoloscopio,sost,"##astronomia## Uno strumento immaginario che permette di osservare il cambiamento del cielo durante il crepuscolo, evidenziando sfumature invisibili ad occhio nudo.",Con il crepuscoloscopio poteva ammirare i colori segreti del tramonto.
radiosolante,agg,"Che emette una luce intensa e diffusa, simile a quella di una radioattività luminosa.",Le pietre radiosolanti emanavano un bagliore che illuminava la caverna.
robotopoli,sost,##tecnologia## Città colonizzata esclusivamente da intelligenze artificiali e robot.,La robotopoli si estendeva per chilometri senza traccia di vita umana.
lunacar,sost,##tecnologia## Automobile elettrica futuristica che viene alimentata a energia lunare.,La lunacar rappresenta il futuro della mobilità sostenibile.
nanopulitore,sost,Strumento basato su nanotecnologie per una pulizia domestica profonda.,"Il nanopulitore ha eliminato ogni traccia di sporco, rendendo la casa immacolata."
osteostimolo,sost,##medicina## Principio attivo che rinforza le ossa.,Il medico gli ha prescritto osteostimolo per prevenire l'osteoporosi.
leucofobia,sost,##psicologia## Paura patologica del colore bianco e in generale delle fonti di luce forti e accecanti.,La sua leucofobia gli impedisce di uscire di giorno senza occhiali da sole.
fitocrazia,sost,##politica## ##botanica## Ipotetica forma di governo espressa dal regno vegetale delle piante.,"In questa utopia ecologica, la fitocrazia governa tutte le risorse naturali."
fitodigitale,sost,##botanica## Piante geneticamente modificate in grado di codificare e immagazzinare dati digitali nelle loro strutture cellulari.,Le fitodigitali vengono utilizzate per conservare informazioni in modo biologico.
verticalcamminare,verb,Camminare su superfici verticali.,L'atleta ha imparato a verticalcamminare con l'ausilio di nuove scarpe ad alta tecnologia.
imperfezionismo,sost,Parola che indica l’accettazione dell’imperfezione delle cose.,"Il suo imperfezionismo lo portava a trovare bellezza in ogni dettaglio, anche nei difetti."
biblioaccumulo,sost,##biblioteconomia## L’abitudine di acquistare freneticamente libri senza poi avere il tempo o la voglia di leggerli.,Il suo biblioaccumulo aveva riempito la casa di libri mai letti.
eteropolitica,sost,##politica## Quando il potere politico di uno stato è influenzato da paesi esterni.,"L'eteropolitica è diventata un problema serio, con decisioni politiche dettate da potenze straniere."
cristalossido,sost,"##geologia## Tipo di roccia immaginaria composta da cristalli ossidati, utilizzata in racconti fantasy come materiale magico.",Il mago estrasse un frammento di cristalossido per l'incantesimo.
bioarte,sost,##arte## Movimento artistico che prende ispirazione dalle forme biologiche e dalla loro capacità di adattamento e mutazione.,L'artista ha adottato la bioarte per rappresentare l'evoluzione delle specie.
termofrase,agg,##linguistica## Relativo a espressioni idiomatiche che riflettono condizioni termiche o fenomeni fisici legati al calore.,Il linguaggio termofrase varia notevolmente tra le culture che vivono in climi estremi.
neurovisore,sost,"##tecnologia## Dispositivo che permette di visualizzare e interpretare i processi cognitivi del cervello in tempo reale, utilizzato in neuroscienze avanzate.",Il neurovisore ha rivelato i modelli di pensiero durante la risoluzione dei problemi complessi.
